frame_id,group,group_label,sequence_index,source_path,relative_path,size_bytes,mtime_ns,width,height,orientation,timestamp,metadata_error,interval_s,elapsed_s,timestamp_duplicate
A_124_FUJI_CNS00001,A,ZH11 B3-OE,4776,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00001.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS00001.JPG,5973386,1685069844000000000,4416,2488,1,2023-05-26 10:57:24,,1300.0,49050.0,False
B_125_FUJI_CNS00001,B,BPH33,5461,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/125_FUJI/CNS00001.JPG,2023-05-27   BPH33/125_FUJI/CNS00001.JPG,5865139,1685171582000000000,4416,2488,1,2023-05-27 15:13:03,,12960.0,67560.0,False
C_125_FUJI_CNS02003,C,BPH33回补,1,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-28  BPH33回补/125_FUJI/CNS02003.JPG,2023-05-28  BPH33回补/125_FUJI/CNS02003.JPG,4906888,1685192582000000000,4416,2488,1,2023-05-27 21:03:03,,30.0,30.0,False
C_126_FUJI_CNS00001,C,BPH33回补,6826,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-28  BPH33回补/126_FUJI/CNS00001.JPG,2023-05-28  BPH33回补/126_FUJI/CNS00001.JPG,4913280,1685272552000000000,4416,2488,1,2023-05-28 19:15:53,,11730.0,80000.0,False
